model,target,rmse
GBT,Densidade_Banda Larga Fixa_2025,0.019654774474781485
GBT,Densidade_Telefonia Movel_2025,0.025835277455137945
GBT,HHI SCM_2024,0.19202728785674744
GBT,HHI SMP_2024,0.15528093264524
GBT,pct_escolas_fibra,0.24560061423451832
GBT,pct_escolas_internet,0.04838688891764894
GBT,pct_fibra_backhaul,0.24314579441875167
GBT,pct_limite_mean,0.001836578831195929
GBT,renda_media_mean,0.11358189528782764
GBT,renda_media_std,0.10304873795461356
GBT,velocidade_mediana_mean,0.07512605676576818
GBT,velocidade_mediana_std,0.10425146648891333
RF,Densidade_Banda Larga Fixa_2025,0.016780037050417505
RF,Densidade_Telefonia Movel_2025,0.027577199583082926
RF,HHI SCM_2024,0.1892491191207363
RF,HHI SMP_2024,0.15624108369501305
RF,pct_escolas_fibra,0.2373317183318109
RF,pct_escolas_internet,0.05094352853296967
RF,pct_fibra_backhaul,0.23714373227432714
RF,pct_limite_mean,0.0018730355821701113
RF,renda_media_mean,0.11401767598197651
RF,renda_media_std,0.10184653519225643
RF,velocidade_mediana_mean,0.07449564935459047
RF,velocidade_mediana_std,0.10257505939468747
KNN,Densidade_Banda Larga Fixa_2025,0.016942350909076826
KNN,Densidade_Telefonia Movel_2025,0.03171295346551829
KNN,HHI SCM_2024,0.2092311918039118
KNN,HHI SMP_2024,0.15765567018077972
KNN,pct_escolas_fibra,0.2504807372861328
KNN,pct_escolas_internet,0.049291536026157316
KNN,pct_fibra_backhaul,0.2531032619240786
KNN,pct_limite_mean,0.0022634694087582605
KNN,renda_media_mean,0.12765042488017983
KNN,renda_media_std,0.11000468368510659
KNN,velocidade_mediana_mean,0.07807843287002338
KNN,velocidade_mediana_std,0.10837733962141205
