state,constrained_drift,unconstrained_drift
AC,1.272248,
AL,0.910494,
AM,0.397897,0.620449
AP,0.646547,
BA,1.181087,1.132932
CE,0.255696,2.48085
ES,0.336389,
GO,2.321715,2.12567
MA,0.281256,4.280182
MG,1.098081,1.309567
MS,2.982247,0.964635
MT,1.221054,
PA,1.826677,1.091367
PB,0.761551,8.86437
PE,5.756085,0.965476
PI,1.717027,2.836708
PR,1.169311,0.45809
RJ,6.890881,4.950776
RN,2.872789,0.632143
RO,1.791306,
RS,2.249562,3.027963
SC,9.717165,0.790884
SE,7.226246,5.492311
SP,0.546176,0.362305
TO,3.582636,0.741354
